FishID,Source,Location,Year_samples_collected,d13C,d15N,d34S,%C,%N,%S,CN,Species,Station,SIA_location
425_NS,Marine Scotland,North,2018,-18.12,12.59,16.53,42.91,13.43,1.04,3.2,Haddock,NORTH_09,LSMSF
426_NS,Marine Scotland,North,2018,-17.45,12.9,16.08,42.54,13.2,1.01,3.22,Haddock,NORTH_09,LSMSF
437_NS,Marine Scotland,North,2018,-18.17,13.23,16.83,43.74,13.57,1.05,3.22,Haddock,NORTH_04,LSMSF
442_NS,Marine Scotland,North,2018,-17.87,13.1,18.3,42.4,13.17,1,3.22,Haddock,NORTH_24,LSMSF
444_NS,Marine Scotland,North,2018,-18.09,12.84,18.24,42.93,13.39,1.03,3.21,Haddock,NORTH_24,LSMSF
445_NS,Marine Scotland,North,2018,-17.85,13.07,17.3,42.51,13.32,0.99,3.19,Haddock,NORTH_24,LSMSF
454_NS,Marine Scotland,North,2018,-17.78,12.4,18,43.15,13.48,0.96,3.2,Haddock,NORTH_19,LSMSF
457_NS,Marine Scotland,North,2018,-18.8,12.35,16.52,47.48,13.52,1.05,3.51,Haddock,NORTH_19,LSMSF
458_NS,Marine Scotland,North,2018,-17.52,13.84,17.46,42.53,13.32,1.03,3.19,Haddock,NORTH_19,LSMSF
459_NS,Marine Scotland,North,2018,-18.65,10.9,17.95,44.12,13.61,0.97,3.24,Haddock,NORTH_13,LSMSF
461_NS,Marine Scotland,North,2018,-16.86,12.21,17.28,44.37,13.65,1.01,3.25,Haddock,NORTH_13,LSMSF
462_NS,Marine Scotland,North,2018,-18.68,12.1,18.08,43.88,13.58,1,3.23,Haddock,NORTH_13,LSMSF
474_NS,Marine Scotland,North,2018,-17.98,13.49,18.3,43.6,13.39,1.07,3.26,Haddock,NORTH_07,LSMSF
475_NS,Marine Scotland,North,2018,-18.32,13.67,18.53,45.02,13.84,1,3.25,Haddock,NORTH_07,LSMSF
477_NS,Marine Scotland,North,2018,-18.14,12.58,18.04,42.99,13.48,1.09,3.19,Haddock,NORTH_07,LSMSF
479_Ns,Marine Scotland,North,2018,-17.47,13.57,17.51,43.62,13.79,1.02,3.16,Haddock,NORTH_21,LSMSF
480_NS,Marine Scotland,North,2018,-18.85,13.46,16.34,43.55,12.98,1.13,3.36,Haddock,NORTH_21,LSMSF
481_NS,Marine Scotland,North,2018,-17.68,13.22,16.88,42.6,13.43,1.03,3.17,Haddock,NORTH_21,LSMSF
483_NS,Marine Scotland,North,2018,-18.02,13.63,16.3,44.97,13.79,1.05,3.26,Haddock,NORTH_21,LSMSF
500_NS,Marine Scotland,North,2018,-18.07,11.66,18.19,45.43,14.04,1,3.24,Haddock,NORTH_15,LSMSF
501_NS,Marine Scotland,North,2018,-17.86,12.56,17.91,45.34,13.89,1.01,3.26,Haddock,NORTH_15,LSMSF
502_NS,Marine Scotland,North,2018,-18.61,11.67,17.86,43.6,13.49,1,3.23,Haddock,NORTH_15,LSMSF
503_NS,Marine Scotland,North,2018,-19.07,11.56,18.78,42.41,13.1,0.99,3.24,Haddock,NORTH_15,LSMSF
510_NS,Marine Scotland,North,2018,-18.38,11.89,18.41,45.45,13.85,1.05,3.28,Haddock,NORTH_30,LSMSF
512_NS,Marine Scotland,North,2018,-17.99,11.7,17.47,44.88,13.72,0.98,3.27,Haddock,NORTH_30,LSMSF
513_NS,Marine Scotland,North,2018,-17.59,12.22,17,43.76,13.64,1.03,3.21,Haddock,NORTH_30,LSMSF
519_NS,Marine Scotland,North,2018,-18.29,12.87,16.73,44.55,13.84,1.03,3.22,Haddock,NORTH_02,LSMSF
521_NS,Marine Scotland,North,2018,-18.39,13.26,16.4,41.74,13.13,1.14,3.18,Haddock,NORTH_02,LSMSF
523_NS,Marine Scotland,North,2018,-18.14,13.33,16.7,43.46,13.57,1.09,3.2,Haddock,NORTH_02,LSMSF
Y_03,Youngs Seafood,Norwegian,2017,-19.17,14.47,17.02,50.92,15.25,1.05,3.34,Haddock,Nordkapp Bank,LSMSF
Y_05,Youngs Seafood,Norwegian,2017,-19.34,14.86,17.19,48.31,14.95,0.98,3.23,Haddock,Nordkapp Bank,LSMSF
Y_08,Youngs Seafood,Barents,2017,-18.96,14.88,16.31,50.07,15.32,1.03,3.27,Haddock,Central Bank,LSMSF
Y_11,Youngs Seafood,Norwegian,2017,-19.76,14.35,17.59,51.61,15.3,1.08,3.37,Haddock,Nordkapp Bank,LSMSF
Y_13,Youngs Seafood,Barents,2016,-19.6,14.61,17.35,48.55,14.94,1,3.25,Haddock,Central Bank,LSMSF
Y_15,Youngs Seafood,Norwegian,2017,-18.86,14.59,15.21,50.76,15.43,1.09,3.29,Haddock,Nordkapp Bank,LSMSF
Y_20,Youngs Seafood,Norwegian,2017,-19.13,14.32,17.49,47.97,14.75,0.99,3.25,Haddock,Nordkapp Bank,LSMSF
Y_21,Youngs Seafood,Barents,2017,-18.18,15.17,16.85,49.84,15.26,1.09,3.27,Haddock,Central Bank,LSMSF
Y_24,Youngs Seafood,Norwegian,2017,-19.38,14.38,17.06,49.84,15.27,1.06,3.26,Haddock,Nordkapp Bank,LSMSF
Y_28,Youngs Seafood,Norwegian,2017,-19.79,14.97,18.16,49.72,15.25,1.03,3.26,Haddock,Nordkapp Bank,LSMSF
Y_30,Youngs Seafood,Iceland,2017,-17.98,13.06,17.7,47.95,14.77,1.05,3.25,Haddock,Iceland,LSMSF
Y_31,Youngs Seafood,Iceland,2017,-18.27,13.19,16.49,49.04,14.84,1.02,3.3,Haddock,Iceland,LSMSF
Y_32,Youngs Seafood,Iceland,2017,-17.74,14.09,17.12,50.32,15.39,1.13,3.27,Haddock,Iceland,LSMSF
Y_33,Youngs Seafood,Iceland,2017,-16.93,13.61,17.02,47.05,14.49,1.03,3.25,Haddock,Iceland,LSMSF
Y_34,Youngs Seafood,Iceland,2017,-17.19,13.37,17.74,49.42,15.16,1.01,3.26,Haddock,Iceland,LSMSF
Y_35,Youngs Seafood,Iceland,2017,-17.18,13.4,17.61,50.23,15.39,1.05,3.26,Haddock,Iceland,LSMSF
Y_36,Youngs Seafood,Iceland,2017,-17.91,14.23,15.96,50.06,15.1,1.12,3.31,Haddock,Iceland,LSMSF
Y_38,Youngs Seafood,Iceland,2017,-18.36,13.37,18.22,45.33,13.9,0.89,3.26,Haddock,Iceland,LSMSF
Y_39,Youngs Seafood,Iceland,2017,-17.81,14.46,18.52,48.74,14.86,1.09,3.28,Haddock,Iceland,LSMSF
Y_40,Youngs Seafood,Iceland,2017,-17.56,13.83,17.27,49.66,15.27,1.04,3.25,Haddock,Iceland,LSMSF
1288_Fa,Faroe Marine Institute,Faroes,2018,-18.08,12.67,17.84,50.6,15.46,1.15,3.27,Haddock,FAROE_01,LSMSF
1289_Fa,Faroe Marine Institute,Faroes,2018,-17.59,12.52,17.75,50.84,15.44,1.13,3.29,Haddock,FAROE_01,LSMSF
1290_Fa,Faroe Marine Institute,Faroes,2018,-17.21,12.52,17.58,50.89,15.53,1.14,3.28,Haddock,FAROE_01,LSMSF
1291_Fa,Faroe Marine Institute,Faroes,2018,-17.22,12.79,17.52,50.73,15.51,1.12,3.27,Haddock,FAROE_01,LSMSF
1292_Fa,Faroe Marine Institute,Faroes,2018,-17.49,12.51,17.87,50.62,15.34,1.12,3.3,Haddock,FAROE_01,LSMSF
1293_Fa,Faroe Marine Institute,Faroes,2018,-17.8,11.96,18.07,50.96,15.41,1.11,3.31,Haddock,FAROE_02,LSMSF
1294_Fa,Faroe Marine Institute,Faroes,2018,-18.16,11.9,18.04,50.52,15.27,1.11,3.31,Haddock,FAROE_02,LSMSF
1295_Fa,Faroe Marine Institute,Faroes,2018,-17.68,11.6,18.03,51.34,15.61,1.11,3.29,Haddock,FAROE_02,LSMSF
1296_Fa,Faroe Marine Institute,Faroes,2018,-17.99,11.59,18.23,50.86,15.48,1.13,3.28,Haddock,FAROE_02,LSMSF
1297_Fa,Faroe Marine Institute,Faroes,2018,-17.71,12,17.69,50.99,15.38,1.08,3.32,Haddock,FAROE_02,LSMSF
1298_Fa,Faroe Marine Institute,Faroes,2018,-17.42,12.99,17.58,50.32,15.48,1.1,3.25,Haddock,FAROE_03,LSMSF
1299_Fa,Faroe Marine Institute,Faroes,2018,-17.66,12.33,17.85,50.76,15.62,1.12,3.25,Haddock,FAROE_03,LSMSF
1300_Fa,Faroe Marine Institute,Faroes,2018,-17.69,12.34,17.78,49.81,15.29,1.08,3.26,Haddock,FAROE_03,LSMSF
1301_Fa,Faroe Marine Institute,Faroes,2018,-17.71,12.13,17.97,49.77,15.45,1.13,3.22,Haddock,FAROE_03,LSMSF
1302_Fa,Faroe Marine Institute,Faroes,2018,-18.05,12.34,18.05,49.95,15.19,1.08,3.29,Haddock,FAROE_03,LSMSF
