Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,47.74,7.5
05032021,47.925,7.503
05032021,48.115,7.501
05032021,48.3,7.5
05032021,48.49,7.496
05032021,48.68,7.492
05032021,48.865,7.494
05032021,49.055,7.488
05032021,49.24,7.478
05032021,49.43,7.472
05032021,49.62,7.471
05032021,49.805,7.467
05032021,49.995,7.462
05032021,50.18,7.465
05032021,50.37,7.466
05032021,50.56,7.458
05032021,50.745,7.456
05032021,50.935,7.452
05032021,51.12,7.454
05032021,51.31,7.45
05032021,51.5,7.443
05032021,51.685,7.441
05032021,51.875,7.441
05032021,52.06,7.441
05032021,52.25,7.444
05032021,52.44,7.443
05032021,52.625,7.438
05032021,52.815,7.44
05032021,53,7.438
05032021,53.19,7.437
05032021,53.38,7.43
05032021,53.565,7.43
05032021,53.755,7.428
05032021,53.94,7.423
05032021,54.13,7.422
05032021,54.32,7.425
05032021,54.505,7.423
05032021,54.695,7.418
05032021,54.88,7.421
05032021,55.07,7.419
05032021,55.26,7.413
05032021,55.445,7.419
05032021,55.635,7.418
05032021,55.82,7.417
05032021,56.01,7.417
05032021,56.2,7.42
05032021,56.385,7.414
05032021,56.575,7.412
05032021,56.76,7.412
05032021,56.95,7.416
05032021,57.14,7.413
05032021,57.325,7.412
05032021,57.515,7.412
05032021,57.7,7.412
05032021,57.89,7.418
05032021,58.08,7.419
05032021,58.265,7.413
05032021,58.455,7.412
05032021,58.64,7.412
05032021,58.83,7.412
05032021,59.02,7.416
05032021,59.205,7.413
05032021,59.395,7.415
05032021,59.58,7.417
05032021,59.77,7.414
05032021,59.96,7.412
05032021,60.145,7.416
05032021,60.335,7.417
05032021,60.52,7.417
05032021,60.71,7.414
05032021,60.9,7.412
05032021,61.085,7.416
05032021,61.275,7.413
05032021,61.46,7.412
05032021,61.65,7.416
05032021,61.84,7.414
05032021,62.025,7.412
05032021,62.215,7.416
05032021,62.4,7.417
05032021,62.59,7.417
05032021,62.78,7.413
05032021,62.965,7.412
05032021,63.155,7.412
05032021,63.34,7.412
05032021,63.53,7.416
05032021,63.72,7.413
05032021,63.905,7.412
05032021,64.095,7.412
05032021,64.28,7.412
05032021,64.47,7.412
05032021,64.66,7.412
05032021,64.845,7.412
05032021,65.035,7.416
05032021,65.22,7.413
05032021,65.41,7.412
05032021,65.6,7.416
05032021,65.785,7.41
05032021,65.975,7.407
05032021,66.16,7.414
05032021,66.35,7.413
05032021,66.54,7.416
05032021,66.725,7.417
05032021,66.915,7.413
05032021,67.1,7.412
05032021,67.29,7.412
05032021,67.48,7.412
05032021,67.665,7.416
05032021,67.855,7.413
