Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
9,Faroes,0,0,402,5711,16686,10338,655,789,0,0,86,62,4,0,4,36,0,0,2,5,0,0,0,2,0,0,0,0,17,38,0,0,0,0,0,0,0,38,10
12,Faroes,0,0,364,7012,18779,13304,559,133,0,0,51,53,0,0,5,31,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10
12,Faroes,0,494,373,7006,18586,13333,542,123,0,0,56,50,4,0,5,30,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9
12,Faroes,4858,0,379,7047,18478,13321,554,115,0,0,55,55,3,0,5,31,0,0,2,4,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,38,10
13,Faroes,0,455,544,5276,14605,8734,1073,897,0,0,112,55,0,0,4,39,0,0,1,4,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,39,11
13,Faroes,0,538,536,5326,14960,8723,1083,907,0,0,115,57,0,0,4,39,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11
13,Faroes,0,626,548,5359,14705,8757,1085,881,0,0,111,54,4,0,3,39,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,68,0,0,0,0,0,39,11
14,Faroes,0,0,456,5557,14248,7428,958,1097,0,0,136,44,4,0,3,37,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11
14,Faroes,4934,511,427,5542,14556,7400,996,1132,0,0,125,48,0,0,5,38,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11
14,Faroes,0,0,459,5542,14330,7463,989,1100,0,0,127,51,0,0,6,38,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10
14,Faroes,3503,589,426,7185,17044,12739,521,126,0,0,73,46,0,0,4,29,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,81,0,0,0,0,38,11
14,Faroes,5084,0,540,7219,17056,12703,487,122,0,0,79,47,4,0,5,30,0,0,2,5,0,0,0,3,0,0,0,0,22,0,0,64,0,0,0,0,0,37,10
14,Faroes,0,0,544,7210,17045,12755,490,105,0,0,82,45,3,0,3,30,0,0,2,5,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,37,10
